Matvare ID,Matvare,Spiselig del (%),Vann (g),Kilojoule (kJ),Kilokalorier (kcal),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Alkohol (g),Vitamin A (RAE) (µg-RE),Vitamin A (RE) (µg),Betakaroten (µg),Retinol (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Kalium (K) (mg),Natrium (Na) (mg),Salt (NaCl) (g),Fosfor (P) (mg),Magnesium (Mg) (mg),Jern (Fe) (mg),Kobber (Cu) (mg),Sink (Zn) (mg),Selen (Se) (µg),Jod (I) (µg)
Meieriprodukter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.098,"Reker, i lake, avrent",100.0,84.0,303.0,72.0,1.4,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.5,3.1,0.01,0.02,0.4,3.1,0.45,7.0,1.5,0.0,33.0,91.0,1086.0,2.7,117.0,19.0,0.1,0.11,0.7,22.0,16.0
04.207,"Reker, innbakt, forfritert, fryst",100.0,56.0,945.0,225.0,10.0,4.1,0.0,0.0,1.4,0.7,0.0,4.2,0.1,6.6,1.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,110.0,18.6,18.5,0.1,0.0,0.2,0.9,14.8,0.0,1.0,1.0,0.0,1.0,1.8,1.1,0.11,0.05,1.5,4.2,0.06,3.0,2.0,0.0,36.0,167.0,300.0,0.8,75.0,33.0,0.5,0.16,0.8,80.0,35.0
04.277,"Reker, innbakt, forfritert, stekt i fett",100.0,52.0,1127.0,270.0,16.4,4.4,0.0,0.0,1.9,0.8,0.0,7.7,0.1,9.8,3.7,2.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.8,102.0,17.2,17.1,0.1,0.0,0.2,0.8,13.0,0.0,1.0,1.0,0.0,1.0,1.5,1.4,0.08,0.04,1.2,3.9,0.04,2.0,1.7,0.0,33.0,131.0,236.0,0.6,62.0,27.0,0.4,0.14,0.7,74.0,32.0
04.057,"Reker, kokt",38.0,82.0,350.0,83.0,1.8,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.4,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.03,0.7,4.6,0.96,12.0,2.0,0.0,80.0,166.0,447.0,1.1,170.0,45.0,0.2,0.2,1.2,31.0,34.0
04.387,"Reker, rå",38.0,77.0,431.0,102.0,2.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5,4.2,0.0,0.04,1.0,4.8,1.3,16.0,2.4,0.0,76.0,210.0,500.0,1.3,190.0,50.0,0.2,0.21,1.1,33.0,36.0
04.318,"Rogn, torsk, hermetisk, stekt i fett",100.0,62.0,918.0,220.0,13.3,3.8,0.4,0.4,1.5,0.8,0.1,5.5,0.1,5.4,2.8,1.9,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.3,1.0,1.9,326.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,105.0,106.0,18.0,103.0,16.2,6.1,0.61,0.23,0.4,5.3,0.25,9.0,8.7,0.0,12.0,141.0,134.0,0.3,280.0,8.0,0.8,0.22,3.4,20.0,190.0
04.312,"Rogn, torsk, kokt",100.0,78.0,422.0,100.0,2.5,0.5,0.0,0.0,0.4,0.1,0.0,0.4,0.1,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.6,1.0,0.1,359.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,26.0,26.0,0.0,26.0,4.8,10.3,0.64,0.51,0.9,6.1,0.2,17.0,17.3,17.0,9.0,227.0,95.0,0.2,381.0,12.0,0.8,0.12,5.0,105.0,195.0
04.100,"Rogn, torsk, presset, hermetisk",100.0,71.0,531.0,126.0,1.9,0.4,0.0,0.0,0.3,0.0,0.0,0.4,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.6,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,0.0,79.0,79.0,0.0,79.0,18.0,6.2,0.78,0.26,0.5,5.5,0.32,12.0,10.0,0.0,11.0,170.0,110.0,0.3,320.0,9.0,1.0,0.24,3.5,20.0,195.0
04.052,"Rogn, torsk, rå",100.0,74.0,491.0,116.0,2.6,0.5,0.0,0.0,0.4,0.1,0.0,0.5,0.1,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.7,1.0,0.1,323.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,28.0,28.0,0.0,28.0,5.2,10.3,0.77,0.66,1.2,5.5,0.26,22.0,19.5,19.0,8.0,272.0,101.0,0.3,403.0,13.0,0.9,0.12,4.5,105.0,195.0
04.101,"Rognleverpostei, Svolvær-/Lofotpostei",100.0,45.0,1685.0,408.0,38.6,6.0,0.0,1.2,3.7,0.9,0.0,15.7,1.9,7.6,12.5,3.6,0.7,0.0,0.0,0.2,0.0,2.5,0.3,4.1,8.8,3.7,228.0,2.1,1.1,1.0,1.0,1.0,2.0,12.4,0.0,2400.0,2400.0,0.0,2400.0,39.1,9.3,0.15,0.25,1.5,3.8,0.07,66.0,9.6,1.0,4.0,190.0,711.0,1.8,233.0,10.0,0.7,0.21,1.9,60.0,245.0
